,# edges,setting,accuracy,f1
47,1000,unlearn,0.506006006006006,0.37156809931144824
48,0,retrain,0.6306306306306306,0.5956080949398456
49,0,unlearn,0.6306306306306306,0.5956080949398456
50,100,retrain,0.5645645645645646,0.4860639695784624
51,100,unlearn,0.5315315315315315,0.433389464259407
52,200,retrain,0.6336336336336337,0.530649438453113
53,200,unlearn,0.539039039039039,0.4373685768804294
54,400,retrain,0.6951951951951952,0.6530159946408668
55,400,unlearn,0.5330330330330331,0.4331372848302153
56,800,retrain,0.6426426426426426,0.558546685067522
57,800,unlearn,0.524024024024024,0.42826401680839493
58,1000,retrain,0.6501501501501501,0.5651221308434292
59,1000,unlearn,0.5225225225225225,0.43009738824910987
60,0,retrain,0.6921921921921922,0.6149386529014048
61,0,unlearn,0.6921921921921922,0.6149386529014048
62,100,retrain,0.6831831831831832,0.5947977159986553
63,100,unlearn,0.5045045045045045,0.4329650505673164
64,200,retrain,0.6726726726726727,0.5838593265405384
65,200,unlearn,0.496996996996997,0.42521577386793225
66,400,retrain,0.6006006006006006,0.5319827204929449
67,400,unlearn,0.5,0.4250547137127903
68,800,retrain,0.484984984984985,0.39977055664156413
69,800,unlearn,0.5045045045045045,0.42461805239054207
70,1000,retrain,0.5915915915915916,0.5096266350257693
71,1000,unlearn,0.503003003003003,0.41856090911526384
72,0,retrain,0.4339339339339339,0.2954189062221056
73,0,unlearn,0.4339339339339339,0.2954189062221056
74,100,retrain,0.6111111111111112,0.4690462930734424
75,100,unlearn,0.4774774774774775,0.30691274217861325
76,200,retrain,0.6201201201201201,0.5377432778856165
77,200,unlearn,0.46846846846846846,0.30167360431173273
78,400,retrain,0.5435435435435435,0.45990805927297834
79,400,unlearn,0.46546546546546547,0.29975855381910305
80,800,retrain,0.5315315315315315,0.47534281927485483
81,800,unlearn,0.45345345345345345,0.2921928356884462
82,1000,retrain,0.5900900900900901,0.5453247727166618
83,1000,unlearn,0.4519519519519519,0.2909372771309752
84,0,retrain,0.6906906906906907,0.6065349977625293
85,0,unlearn,0.6906906906906907,0.6065349977625293
86,100,retrain,0.7162162162162162,0.6617395787007065
87,100,unlearn,0.4924924924924925,0.4032346154770859
88,200,retrain,0.6951951951951952,0.6141003496208874
89,200,unlearn,0.49099099099099097,0.40280590352709283
90,400,retrain,0.6651651651651652,0.5823209361183036
91,400,unlearn,0.4894894894894895,0.40306560518397766
92,800,retrain,0.6366366366366366,0.5818145252157335
93,800,unlearn,0.47897897897897895,0.39841048184594224
94,1000,retrain,0.6411411411411412,0.5962645353401171
95,1000,unlearn,0.46846846846846846,0.3914349620026958
96,0,retrain,0.7057057057057057,0.626374084272003
97,0,unlearn,0.7057057057057057,0.626374084272003
98,100,retrain,0.7087087087087087,0.6570991316918423
99,100,unlearn,0.6336336336336337,0.5278551073994248
100,200,retrain,0.6906906906906907,0.5997898986009124
101,200,unlearn,0.6306306306306306,0.5254593670097681
102,400,retrain,0.6651651651651652,0.575762513382809
103,400,unlearn,0.6471471471471472,0.5448534753984327
104,800,retrain,0.6156156156156156,0.53538291775633
105,800,unlearn,0.6576576576576577,0.558292473470169
106,1000,retrain,0.6096096096096096,0.5302522940108193
107,1000,unlearn,0.6411411411411412,0.5441681957593174
108,0,retrain,0.7207207207207207,0.667535814610699
109,0,unlearn,0.7207207207207207,0.667535814610699
110,100,retrain,0.6966966966966966,0.644183730111086
111,100,unlearn,0.6156156156156156,0.4758286822054565
112,200,retrain,0.6666666666666666,0.6204426614471439
113,200,unlearn,0.6141141141141141,0.47453364041886603
114,400,retrain,0.6696696696696697,0.5849015184398808
115,400,unlearn,0.6126126126126126,0.47523275286717404
116,800,retrain,0.6291291291291291,0.5468371196708434
117,800,unlearn,0.6036036036036037,0.4685719676853044
118,1000,retrain,0.6471471471471472,0.5785125257255855
119,1000,unlearn,0.6036036036036037,0.4711407080947077
