,# edges,setting,privacy leakage
317,100,max-degree-U,0.75
318,200,max-degree-O,0.88
319,200,max-degree-R,0.725
320,200,max-degree-U,0.725
321,300,max-degree-O,0.8433333333333334
322,300,max-degree-R,0.7566666666666666
323,300,max-degree-U,0.6766666666666667
324,400,max-degree-O,0.8425
325,400,max-degree-R,0.7
326,400,max-degree-U,0.6950000000000001
327,500,max-degree-O,0.856
328,500,max-degree-R,0.692
329,500,max-degree-U,0.752
330,100,min-degree-O,0.5
331,100,min-degree-R,0.18000000000000005
332,100,min-degree-U,0.19999999999999996
333,200,min-degree-O,0.54
334,200,min-degree-R,0.20999999999999996
335,200,min-degree-U,0.18999999999999995
336,300,min-degree-O,0.54
337,300,min-degree-R,0.21666666666666667
338,300,min-degree-U,0.2533333333333333
339,400,min-degree-O,0.605
340,400,min-degree-R,0.19999999999999996
341,400,min-degree-U,0.20750000000000002
342,500,min-degree-O,0.51
343,500,min-degree-R,0.246
344,500,min-degree-U,0.262
345,100,saliency-O,0.43
346,100,saliency-R,0.15000000000000002
347,100,saliency-U,0.17000000000000004
348,200,saliency-O,0.59
349,200,saliency-R,0.22499999999999998
350,200,saliency-U,0.245
351,300,saliency-O,0.5533333333333333
352,300,saliency-R,0.2766666666666666
353,300,saliency-U,0.2833333333333333
354,400,saliency-O,0.5375
355,400,saliency-R,0.2875
356,400,saliency-U,0.30000000000000004
357,500,saliency-O,0.54
358,500,saliency-R,0.29800000000000004
359,500,saliency-U,0.33399999999999996
360,100,random-O,0.7
361,100,random-R,0.39
362,100,random-U,0.4
363,200,random-O,0.685
364,200,random-R,0.41000000000000003
365,200,random-U,0.375
366,300,random-O,0.6766666666666666
367,300,random-R,0.4066666666666666
368,300,random-U,0.4
369,400,random-O,0.7125
370,400,random-R,0.4325
371,400,random-U,0.4425
372,500,random-O,0.706
373,500,random-R,0.44999999999999996
374,500,random-U,0.44799999999999995
375,100,max-degree-O,0.95
376,100,max-degree-R,0.79
377,100,max-degree-U,0.78
378,200,max-degree-O,0.86
379,200,max-degree-R,0.78
380,200,max-degree-U,0.76
381,300,max-degree-O,0.8433333333333334
382,300,max-degree-R,0.7366666666666667
383,300,max-degree-U,0.7666666666666666
384,400,max-degree-O,0.8575
385,400,max-degree-R,0.69
386,400,max-degree-U,0.6925
387,500,max-degree-O,0.844
388,500,max-degree-R,0.724
389,500,max-degree-U,0.724
390,100,min-degree-O,0.53
391,100,min-degree-R,0.19999999999999996
392,100,min-degree-U,0.17000000000000004
393,200,min-degree-O,0.53
394,200,min-degree-R,0.21999999999999997
395,200,min-degree-U,0.20999999999999996
396,300,min-degree-O,0.56
397,300,min-degree-R,0.20666666666666667
398,300,min-degree-U,0.2466666666666667
399,400,min-degree-O,0.5425
400,400,min-degree-R,0.21750000000000003
401,400,min-degree-U,0.20499999999999996
402,500,min-degree-O,0.494
403,500,min-degree-R,0.24
404,500,min-degree-U,0.25
405,100,saliency-O,0.56
406,100,saliency-R,0.17000000000000004
407,100,saliency-U,0.18000000000000005
408,200,saliency-O,0.535
409,200,saliency-R,0.20499999999999996
410,200,saliency-U,0.18999999999999995
411,300,saliency-O,0.5933333333333334
412,300,saliency-R,0.28
413,300,saliency-U,0.2633333333333333
414,400,saliency-O,0.58
415,400,saliency-R,0.31000000000000005
416,400,saliency-U,0.28
417,500,saliency-O,0.526
418,500,saliency-R,0.30600000000000005
419,500,saliency-U,0.32399999999999995
420,100,random-O,0.7
421,100,random-R,0.45999999999999996
422,100,random-U,0.48
423,200,random-O,0.655
424,200,random-R,0.45499999999999996
425,200,random-U,0.44499999999999995
426,300,random-O,0.7233333333333334
427,300,random-R,0.45999999999999996
428,300,random-U,0.4866666666666667
429,400,random-O,0.69
430,400,random-R,0.4675
431,400,random-U,0.4325
432,500,random-O,0.674
433,500,random-R,0.41200000000000003
434,500,random-U,0.41600000000000004
435,100,max-degree-O,0.81
436,100,max-degree-R,0.74
437,100,max-degree-U,0.76
438,200,max-degree-O,0.85
439,200,max-degree-R,0.76
440,200,max-degree-U,0.74
441,300,max-degree-O,0.8566666666666667
442,300,max-degree-R,0.7366666666666667
443,300,max-degree-U,0.7133333333333334
444,400,max-degree-O,0.825
445,400,max-degree-R,0.73
446,400,max-degree-U,0.6699999999999999
447,500,max-degree-O,0.83
448,500,max-degree-R,0.738
449,500,max-degree-U,0.732
450,100,min-degree-O,0.57
451,100,min-degree-R,0.18999999999999995
452,100,min-degree-U,0.16000000000000003
453,200,min-degree-O,0.455
454,200,min-degree-R,0.15500000000000003
455,200,min-degree-U,0.19999999999999996
456,300,min-degree-O,0.53
457,300,min-degree-R,0.21333333333333337
458,300,min-degree-U,0.19666666666666666
459,400,min-degree-O,0.55
460,400,min-degree-R,0.245
461,400,min-degree-U,0.2025
462,500,min-degree-O,0.514
463,500,min-degree-R,0.22999999999999998
464,500,min-degree-U,0.24
465,100,saliency-O,0.64
466,100,saliency-R,0.17000000000000004
467,100,saliency-U,0.16000000000000003
468,200,saliency-O,0.45
469,200,saliency-R,0.20499999999999996
470,200,saliency-U,0.19499999999999995
471,300,saliency-O,0.5433333333333333
472,300,saliency-R,0.29000000000000004
473,300,saliency-U,0.2666666666666667
474,400,saliency-O,0.5875
475,400,saliency-R,0.30500000000000005
476,400,saliency-U,0.3075
477,500,saliency-O,0.606
478,500,saliency-R,0.31799999999999995
479,500,saliency-U,0.31799999999999995
480,100,random-O,0.7
481,100,random-R,0.48
482,100,random-U,0.41000000000000003
483,200,random-O,0.67
484,200,random-R,0.495
485,200,random-U,0.47
486,300,random-O,0.69
487,300,random-R,0.43666666666666665
488,300,random-U,0.45999999999999996
489,400,random-O,0.67
490,400,random-R,0.4675
491,400,random-U,0.48750000000000004
492,500,random-O,0.672
493,500,random-R,0.44999999999999996
494,500,random-U,0.46199999999999997
495,100,max-degree-O,0.9
496,100,max-degree-R,0.73
497,100,max-degree-U,0.73
498,200,max-degree-O,0.865
499,200,max-degree-R,0.7050000000000001
500,200,max-degree-U,0.72
501,300,max-degree-O,0.8533333333333334
502,300,max-degree-R,0.7733333333333333
503,300,max-degree-U,0.7733333333333333
504,400,max-degree-O,0.8425
505,400,max-degree-R,0.72
506,400,max-degree-U,0.735
507,500,max-degree-O,0.832
508,500,max-degree-R,0.7
509,500,max-degree-U,0.6819999999999999
510,100,min-degree-O,0.55
511,100,min-degree-R,0.22999999999999998
512,100,min-degree-U,0.18000000000000005
513,200,min-degree-O,0.555
514,200,min-degree-R,0.18999999999999995
515,200,min-degree-U,0.18500000000000005
516,300,min-degree-O,0.5233333333333333
517,300,min-degree-R,0.19666666666666666
518,300,min-degree-U,0.20333333333333337
519,400,min-degree-O,0.52
