,# edges,setting,privacy leakage
471,300,saliency-O,0.7966666666666666
472,300,saliency-R,0.1266666666666667
473,300,saliency-U,0.17333333333333334
474,400,saliency-O,0.81
475,400,saliency-R,0.1925
476,400,saliency-U,0.26249999999999996
477,500,saliency-O,0.788
478,500,saliency-R,0.19399999999999995
479,500,saliency-U,0.18400000000000005
480,100,random-O,0.77
481,100,random-R,0.44999999999999996
482,100,random-U,0.49
483,200,random-O,0.76
484,200,random-R,0.525
485,200,random-U,0.5
486,300,random-O,0.81
487,300,random-R,0.5
488,300,random-U,0.4966666666666667
489,400,random-O,0.64
490,400,random-R,0.5
491,400,random-U,0.51
492,500,random-O,0.804
493,500,random-R,0.404
494,500,random-U,0.39
495,100,max-degree-O,0.98
496,100,max-degree-R,0.95
497,100,max-degree-U,0.97
498,200,max-degree-O,0.96
499,200,max-degree-R,0.31000000000000005
500,200,max-degree-U,0.15500000000000003
501,300,max-degree-O,0.9666666666666667
502,300,max-degree-R,0.18666666666666665
503,300,max-degree-U,0.18666666666666665
504,400,max-degree-O,0.9525
505,400,max-degree-R,0.08999999999999997
506,400,max-degree-U,0.03500000000000003
507,500,max-degree-O,0.946
508,500,max-degree-R,0.06000000000000005
509,500,max-degree-U,0.07399999999999995
510,100,min-degree-O,0.83
511,100,min-degree-R,0.010000000000000009
512,100,min-degree-U,0.020000000000000018
513,200,min-degree-O,0.77
514,200,min-degree-R,0.0050000000000000044
515,200,min-degree-U,0.0050000000000000044
516,300,min-degree-O,0.7933333333333333
517,300,min-degree-R,0.17000000000000004
518,300,min-degree-U,0.19999999999999996
519,400,min-degree-O,0.77
520,400,min-degree-R,0.025000000000000022
521,400,min-degree-U,0.020000000000000018
522,500,min-degree-O,0.764
523,500,min-degree-R,0.030000000000000027
524,500,min-degree-U,0.18400000000000005
525,100,saliency-O,0.79
526,100,saliency-R,0.08999999999999997
527,100,saliency-U,0.09999999999999998
528,200,saliency-O,0.805
529,200,saliency-R,0.13
530,200,saliency-U,0.255
531,300,saliency-O,0.7533333333333333
532,300,saliency-R,0.15000000000000002
533,300,saliency-U,0.2633333333333333
534,400,saliency-O,0.755
535,400,saliency-R,0.12250000000000005
536,400,saliency-U,0.11750000000000005
537,500,saliency-O,0.762
538,500,saliency-R,0.17800000000000005
539,500,saliency-U,0.16600000000000004
540,100,random-O,0.84
541,100,random-R,0.56
542,100,random-U,0.51
543,200,random-O,0.65
544,200,random-R,0.46499999999999997
545,200,random-U,0.42000000000000004
546,300,random-O,0.7933333333333333
547,300,random-R,0.44999999999999996
548,300,random-U,0.4033333333333333
549,400,random-O,0.6975
550,400,random-R,0.5175000000000001
551,400,random-U,0.4175
552,500,random-O,0.68
553,500,random-R,0.402
554,500,random-U,0.402
555,100,max-degree-O,0.96
556,100,max-degree-R,0.94
557,100,max-degree-U,0.9299999999999999
558,200,max-degree-O,0.98
559,200,max-degree-R,0.16500000000000004
560,200,max-degree-U,0.345
561,300,max-degree-O,0.9733333333333334
562,300,max-degree-R,0.17333333333333334
563,300,max-degree-U,0.32999999999999996
564,400,max-degree-O,0.9575
565,400,max-degree-R,0.09750000000000003
566,400,max-degree-U,0.040000000000000036
567,500,max-degree-O,0.934
568,500,max-degree-R,0.16200000000000003
569,500,max-degree-U,0.134
570,100,min-degree-O,0.81
571,100,min-degree-R,0.010000000000000009
572,100,min-degree-U,0.010000000000000009
573,200,min-degree-O,0.795
574,200,min-degree-R,0.010000000000000009
575,200,min-degree-U,0.0050000000000000044
576,300,min-degree-O,0.8333333333333334
577,300,min-degree-R,0.010000000000000009
578,300,min-degree-U,0.00666666666666671
579,400,min-degree-O,0.79
580,400,min-degree-R,0.18500000000000005
581,400,min-degree-U,0.015000000000000013
582,500,min-degree-O,0.8
583,500,min-degree-R,0.016000000000000014
584,500,min-degree-U,0.02400000000000002
585,100,saliency-O,0.86
586,100,saliency-R,0.06999999999999995
587,100,saliency-U,0.07999999999999996
588,200,saliency-O,0.815
589,200,saliency-R,0.10999999999999999
590,200,saliency-U,0.09999999999999998
591,300,saliency-O,0.74
592,300,saliency-R,0.14
593,300,saliency-U,0.14
594,400,saliency-O,0.81
595,400,saliency-R,0.11250000000000004
596,400,saliency-U,0.135
597,500,saliency-O,0.798
598,500,saliency-R,0.14800000000000002
599,500,saliency-U,0.126
