,# edges,setting,accuracy,privacy leakage,running time
159,800,min-degree-O,0.0,0.565,0.0
160,800,min-degree-R,0.8691275167785235,0.24875000000000003,2.035146951675415
161,800,min-degree-U,0.8624161073825504,0.26875000000000004,1.9788286685943604
162,1000,min-degree-O,0.0,0.571,0.0
163,1000,min-degree-R,0.8624161073825504,0.265,2.516209840774536
164,1000,min-degree-U,0.8624161073825504,0.257,2.798664093017578
165,100,saliency-O,0.0,0.6,0.0
166,100,saliency-R,0.8590604026845637,0.16000000000000003,2.362487554550171
167,100,saliency-U,0.8624161073825504,0.12,0.7578365802764893
168,200,saliency-O,0.0,0.51,0.0
169,200,saliency-R,0.8624161073825504,0.235,2.2265403270721436
170,200,saliency-U,0.8657718120805369,0.255,0.8331680297851562
171,400,saliency-O,0.0,0.5575,0.0
172,400,saliency-R,0.8624161073825504,0.27,1.738901138305664
173,400,saliency-U,0.8657718120805369,0.26749999999999996,1.4069983959197998
174,800,saliency-O,0.0,0.59,0.0
175,800,saliency-R,0.8657718120805369,0.33999999999999997,1.916869878768921
176,800,saliency-U,0.8590604026845637,0.34875,1.9108824729919434
177,1000,saliency-O,0.0,0.609,0.0
178,1000,saliency-R,0.8624161073825504,0.361,2.0345747470855713
179,1000,saliency-U,0.8590604026845637,0.359,2.1320085525512695
180,100,random-O,0.0,0.65,0.0
181,100,random-R,0.8624161073825504,0.43000000000000005,2.8157880306243896
182,100,random-U,0.8590604026845637,0.43999999999999995,1.2008564472198486
183,200,random-O,0.0,0.695,0.0
184,200,random-R,0.8657718120805369,0.41000000000000003,2.039276599884033
185,200,random-U,0.8557046979865772,0.48,1.0861711502075195
186,400,random-O,0.0,0.6725,0.0
187,400,random-R,0.8691275167785235,0.4325,1.9369337558746338
188,400,random-U,0.8557046979865772,0.44499999999999995,1.7813694477081299
189,800,random-O,0.0,0.7025,0.0
190,800,random-R,0.8691275167785235,0.44499999999999995,1.7524127960205078
191,800,random-U,0.8590604026845637,0.43625,2.1138298511505127
192,1000,random-O,0.0,0.664,0.0
193,1000,random-R,0.8657718120805369,0.401,2.0348806381225586
194,1000,random-U,0.8624161073825504,0.387,2.497136354446411
195,100,max-degree-O,0.0,0.88,0.0
196,100,max-degree-R,0.8691275167785235,0.74,1.9941537380218506
197,100,max-degree-U,0.8590604026845637,0.78,0.9151012897491455
198,200,max-degree-O,0.0,0.895,0.0
199,200,max-degree-R,0.8624161073825504,0.745,2.038085460662842
200,200,max-degree-U,0.8590604026845637,0.69,0.9154181480407715
201,400,max-degree-O,0.0,0.845,0.0
202,400,max-degree-R,0.8691275167785235,0.73,2.089587450027466
203,400,max-degree-U,0.8624161073825504,0.71,1.5984604358673096
204,800,max-degree-O,0.0,0.8075,0.0
205,800,max-degree-R,0.8590604026845637,0.64375,2.5193018913269043
