,# edges,setting,accuracy,privacy leakage,running time
172,400,saliency-R,0.7237237237237237,0.0024999999999999467,3.4634857177734375
173,400,saliency-U,0.7222222222222222,0.0024999999999999467,2.5500175952911377
174,800,saliency-O,0.0,0.9,0.0
175,800,saliency-R,0.7207207207207207,0.0012499999999999734,3.6927762031555176
176,800,saliency-U,0.7222222222222222,0.0012499999999999734,3.827333450317383
177,1000,saliency-O,0.0,0.847,0.0
178,1000,saliency-R,0.7042042042042042,0.16200000000000003,4.1576220989227295
179,1000,saliency-U,0.7222222222222222,0.0010000000000000009,6.833164691925049
180,100,random-O,0.0,0.88,0.0
181,100,random-R,0.7177177177177178,0.14,4.092464923858643
182,100,random-U,0.7237237237237237,0.31999999999999995,4.0373029708862305
183,200,random-O,0.0,0.845,0.0
184,200,random-R,0.7147147147147147,0.31000000000000005,3.802154302597046
185,200,random-U,0.7207207207207207,0.33499999999999996,3.0918376445770264
186,400,random-O,0.0,0.8525,0.0
187,400,random-R,0.6981981981981982,0.21499999999999997,3.8213071823120117
188,400,random-U,0.7192192192192193,0.22750000000000004,2.9436211585998535
189,800,random-O,0.0,0.86,0.0
190,800,random-R,0.6666666666666666,0.20125000000000004,3.929412364959717
191,800,random-U,0.7177177177177178,0.21750000000000003,2.883911609649658
192,1000,random-O,0.0,0.854,0.0
193,1000,random-R,0.6321321321321322,0.236,3.9233100414276123
194,1000,random-U,0.7177177177177178,0.22899999999999998,3.67755126953125
195,100,max-degree-O,0.0,0.78,0.0
196,100,max-degree-R,0.7117117117117117,0.15000000000000002,3.738253355026245
197,100,max-degree-U,0.7192192192192193,0.19999999999999996,3.665433883666992
198,200,max-degree-O,0.0,0.765,0.0
199,200,max-degree-R,0.7102102102102102,0.37,3.960374355316162
200,200,max-degree-U,0.7192192192192193,0.375,5.2859978675842285
201,400,max-degree-O,0.0,0.8675,0.0
202,400,max-degree-R,0.6891891891891891,0.25,3.798557996749878
203,400,max-degree-U,0.7222222222222222,0.20499999999999996,3.9494683742523193
204,800,max-degree-O,0.0,0.7325,0.0
205,800,max-degree-R,0.6966966966966966,0.14500000000000002,4.066452503204346
206,800,max-degree-U,0.7177177177177178,0.14500000000000002,2.607858896255493
207,1000,max-degree-O,0.0,0.873,0.0
208,1000,max-degree-R,0.6936936936936937,0.05600000000000005,3.809293746948242
209,1000,max-degree-U,0.7177177177177178,0.05500000000000005,3.6833648681640625
210,100,min-degree-O,0.0,0.85,0.0
211,100,min-degree-R,0.6861861861861862,0.010000000000000009,3.8151614665985107
212,100,min-degree-U,0.7222222222222222,0.010000000000000009,2.1935112476348877
213,200,min-degree-O,0.0,0.885,0.0
214,200,min-degree-R,0.6876876876876877,0.0050000000000000044,4.193045377731323
215,200,min-degree-U,0.7222222222222222,0.0050000000000000044,1.8599951267242432
216,400,min-degree-O,0.0,0.885,0.0
217,400,min-degree-R,0.6516516516516516,0.0050000000000000044,4.817277431488037
218,400,min-degree-U,0.7192192192192193,0.0050000000000000044,2.2226080894470215
219,800,min-degree-O,0.0,0.8825,0.0
220,800,min-degree-R,0.5705705705705706,0.0024999999999999467,4.800581216812134
221,800,min-degree-U,0.7192192192192193,0.0024999999999999467,2.9269356727600098
222,1000,min-degree-O,0.0,0.905,0.0
223,1000,min-degree-R,0.5525525525525525,0.0040000000000000036,3.8256421089172363
224,1000,min-degree-U,0.7177177177177178,0.19599999999999995,3.1405529975891113
225,100,saliency-O,0.0,0.85,0.0
226,100,saliency-R,0.7132132132132132,0.010000000000000009,3.8465468883514404
227,100,saliency-U,0.7222222222222222,0.010000000000000009,4.036715507507324
228,200,saliency-O,0.0,0.845,0.0
229,200,saliency-R,0.7237237237237237,0.0050000000000000044,4.217726230621338
230,200,saliency-U,0.7222222222222222,0.010000000000000009,2.7715859413146973
231,400,saliency-O,0.0,0.855,0.0
232,400,saliency-R,0.7147147147147147,0.0024999999999999467,3.742828607559204
233,400,saliency-U,0.7222222222222222,0.0024999999999999467,3.36541485786438
234,800,saliency-O,0.0,0.85875,0.0
235,800,saliency-R,0.7132132132132132,0.0024999999999999467,3.7992727756500244
236,800,saliency-U,0.7222222222222222,0.0024999999999999467,3.62868332862854
237,1000,saliency-O,0.0,0.838,0.0
238,1000,saliency-R,0.7162162162162162,0.0020000000000000018,3.8667755126953125
