,# edges,setting,privacy leakage
322,300,max-degree-R,0.2566666666666667
323,300,max-degree-U,0.2833333333333333
324,400,max-degree-O,0.7625
325,400,max-degree-R,0.2025
326,400,max-degree-U,0.16749999999999998
327,500,max-degree-O,0.81
328,500,max-degree-R,0.16800000000000004
329,500,max-degree-U,0.16200000000000003
330,100,min-degree-O,0.89
331,100,min-degree-R,0.020000000000000018
332,100,min-degree-U,0.020000000000000018
333,200,min-degree-O,0.87
334,200,min-degree-R,0.16000000000000003
335,200,min-degree-U,0.020000000000000018
336,300,min-degree-O,0.8933333333333333
337,300,min-degree-R,0.00666666666666671
338,300,min-degree-U,0.00666666666666671
339,400,min-degree-O,0.9025
340,400,min-degree-R,0.0050000000000000044
341,400,min-degree-U,0.0050000000000000044
342,500,min-degree-O,0.862
343,500,min-degree-R,0.0020000000000000018
344,500,min-degree-U,0.0020000000000000018
345,100,saliency-O,0.89
346,100,saliency-R,0.020000000000000018
347,100,saliency-U,0.030000000000000027
348,200,saliency-O,0.84
349,200,saliency-R,0.010000000000000009
350,200,saliency-U,0.020000000000000018
351,300,saliency-O,0.88
352,300,saliency-R,0.01666666666666672
353,300,saliency-U,0.026666666666666616
354,400,saliency-O,0.8775
355,400,saliency-R,0.03249999999999997
356,400,saliency-U,0.030000000000000027
357,500,saliency-O,0.888
358,500,saliency-R,0.02200000000000002
359,500,saliency-U,0.026000000000000023
360,100,random-O,0.83
361,100,random-R,0.22999999999999998
362,100,random-U,0.15000000000000002
363,200,random-O,0.875
364,200,random-R,0.16000000000000003
365,200,random-U,0.17500000000000004
366,300,random-O,0.89
367,300,random-R,0.2433333333333333
368,300,random-U,0.16333333333333333
369,400,random-O,0.8675
370,400,random-R,0.1975
371,400,random-U,0.32999999999999996
372,500,random-O,0.894
373,500,random-R,0.18999999999999995
374,500,random-U,0.17200000000000004
375,100,max-degree-O,0.77
376,100,max-degree-R,0.16000000000000003
377,100,max-degree-U,0.16000000000000003
378,200,max-degree-O,0.815
379,200,max-degree-R,0.235
380,200,max-degree-U,0.19499999999999995
381,300,max-degree-O,0.75
382,300,max-degree-R,0.2433333333333333
383,300,max-degree-U,0.21999999999999997
384,400,max-degree-O,0.7775
385,400,max-degree-R,0.23250000000000004
386,400,max-degree-U,0.16500000000000004
387,500,max-degree-O,0.8
388,500,max-degree-R,0.29000000000000004
389,500,max-degree-U,0.17200000000000004
390,100,min-degree-O,0.87
391,100,min-degree-R,0.020000000000000018
392,100,min-degree-U,0.020000000000000018
393,200,min-degree-O,0.84
394,200,min-degree-R,0.010000000000000009
395,200,min-degree-U,0.010000000000000009
396,300,min-degree-O,0.9166666666666666
397,300,min-degree-R,0.00666666666666671
398,300,min-degree-U,0.00666666666666671
399,400,min-degree-O,0.875
400,400,min-degree-R,0.0050000000000000044
401,400,min-degree-U,0.0050000000000000044
402,500,min-degree-O,0.878
403,500,min-degree-R,0.0040000000000000036
404,500,min-degree-U,0.0040000000000000036
405,100,saliency-O,0.85
406,100,saliency-R,0.020000000000000018
407,100,saliency-U,0.020000000000000018
408,200,saliency-O,0.865
409,200,saliency-R,0.020000000000000018
410,200,saliency-U,0.015000000000000013
411,300,saliency-O,0.8533333333333334
412,300,saliency-R,0.023333333333333317
413,300,saliency-U,0.20333333333333337
414,400,saliency-O,0.91
415,400,saliency-R,0.025000000000000022
416,400,saliency-U,0.020000000000000018
417,500,saliency-O,0.88
418,500,saliency-R,0.028000000000000025
419,500,saliency-U,0.026000000000000023
420,100,random-O,0.88
421,100,random-R,0.22999999999999998
422,100,random-U,0.15000000000000002
423,200,random-O,0.93
424,200,random-R,0.21499999999999997
425,200,random-U,0.18999999999999995
426,300,random-O,0.8533333333333334
427,300,random-R,0.18666666666666665
428,300,random-U,0.16333333333333333
429,400,random-O,0.8925
430,400,random-R,0.21999999999999997
431,400,random-U,0.16749999999999998
432,500,random-O,0.894
433,500,random-R,0.19999999999999996
434,500,random-U,0.15000000000000002
435,100,max-degree-O,0.76
436,100,max-degree-R,0.16000000000000003
437,100,max-degree-U,0.21999999999999997
438,200,max-degree-O,0.885
439,200,max-degree-R,0.36
440,200,max-degree-U,0.29500000000000004
441,300,max-degree-O,0.7866666666666666
442,300,max-degree-R,0.2433333333333333
443,300,max-degree-U,0.33999999999999997
444,400,max-degree-O,0.7475
445,400,max-degree-R,0.16000000000000003
446,400,max-degree-U,0.125
447,500,max-degree-O,0.816
448,500,max-degree-R,0.16600000000000004
449,500,max-degree-U,0.14
450,100,min-degree-O,0.85
451,100,min-degree-R,0.17000000000000004
452,100,min-degree-U,0.010000000000000009
453,200,min-degree-O,0.875
454,200,min-degree-R,0.15500000000000003
455,200,min-degree-U,0.010000000000000009
456,300,min-degree-O,0.8633333333333333
457,300,min-degree-R,0.0033333333333332993
458,300,min-degree-U,0.0033333333333332993
459,400,min-degree-O,0.88
460,400,min-degree-R,0.0050000000000000044
461,400,min-degree-U,0.0050000000000000044
462,500,min-degree-O,0.866
463,500,min-degree-R,0.21999999999999997
464,500,min-degree-U,0.20199999999999996
