,# edges,partition,running time,accuracy,f1,# shards,setting
68,1000,blpa,208.17604565620425,0.6801801801801802,0.6223368263027148,16,BLPA
69,1000,bekm,266.6465222835541,0.4729729729729729,0.415737414838333,20,BEKM
80,200,blpa,152.82689213752747,0.7777777777777778,0.6953986812533062,9,BLPA
81,200,bekm,309.0197169780731,0.545045045045045,0.4792043082043771,18,BEKM
82,400,blpa,205.43109512329104,0.7447447447447447,0.6771826430842101,13,BLPA
83,400,bekm,302.1614830493927,0.4984984984984985,0.4312597364833232,20,BEKM
86,800,blpa,309.7953062057495,0.6201201201201201,0.5699676223776434,20,BLPA
87,800,bekm,282.4957194328308,0.5105105105105106,0.4440690129833142,20,BEKM
88,1000,blpa,300.98603868484497,0.6216216216216216,0.5695491615477402,20,BLPA
89,1000,bekm,302.0978310108185,0.496996996996997,0.4382454083399387,20,BEKM
100,200,blpa,99.02817678451538,0.7897897897897898,0.7044003542150317,7,BLPA
101,200,bekm,241.7046458721161,0.5465465465465466,0.4826292629754404,17,BEKM
102,400,blpa,164.00840711593628,0.7432432432432432,0.6808439070445266,12,BLPA
103,400,bekm,271.35370683670044,0.4579579579579579,0.3946742543767704,20,BEKM
106,800,blpa,219.0722382068634,0.6906906906906907,0.6346483872051375,16,BLPA
107,800,bekm,268.68863344192505,0.4774774774774775,0.420254234764017,20,BEKM
108,1000,blpa,239.89553785324097,0.6546546546546547,0.5990667474669662,18,BLPA
109,1000,bekm,267.06621527671814,0.4984984984984985,0.4374047562042348,20,BEKM
120,200,blpa,79.92759966850281,0.7942942942942943,0.7197648492952919,6,BLPA
121,200,bekm,210.69568395614624,0.6141141141141141,0.5430471214882228,16,BEKM
122,400,blpa,144.10470008850098,0.7477477477477478,0.6871566406745914,11,BLPA
123,400,bekm,248.61652755737305,0.5015015015015015,0.4376258868441924,19,BEKM
126,800,blpa,199.4325308799744,0.6921921921921922,0.6321195882543228,15,BLPA
127,800,bekm,256.6054012775421,0.4729729729729729,0.4172487831134563,20,BEKM
128,1000,blpa,208.0648238658905,0.6951951951951952,0.6355980100235347,16,BLPA
129,1000,bekm,267.5872294902801,0.4864864864864865,0.4257170614725858,20,BEKM
140,200,blpa,89.37615728378296,0.7972972972972973,0.7286077111633703,7,BLPA
141,200,bekm,235.80837440490723,0.524024024024024,0.4655003538542361,19,BEKM
142,400,blpa,148.0646276473999,0.7537537537537538,0.689368647921408,12,BLPA
143,400,bekm,236.42100358009336,0.524024024024024,0.460171854860584,19,BEKM
146,800,blpa,195.38144278526303,0.6846846846846847,0.6255082503758046,16,BLPA
147,800,bekm,245.03620290756223,0.5375375375375375,0.4730793849345824,20,BEKM
148,1000,blpa,231.59390687942505,0.6411411411411412,0.5858383148001999,19,BLPA
149,1000,bekm,245.5534098148346,0.487987987987988,0.4238201528406016,20,BEKM
160,200,blpa,112.01642060279846,0.7597597597597597,0.6881915270681896,9,BLPA
161,200,bekm,249.52672386169436,0.5015015015015015,0.4390001648002747,20,BEKM
162,400,blpa,197.93394136428836,0.7012012012012012,0.6409727174469814,16,BLPA
163,400,bekm,248.54362273216248,0.4789789789789789,0.4243993948842831,20,BEKM
166,800,blpa,226.6364266872406,0.6576576576576577,0.6033267182005618,18,BLPA
167,800,bekm,247.89555549621585,0.5,0.4410523949229452,20,BEKM
168,1000,blpa,225.47956490516663,0.6546546546546547,0.6012751686442087,18,BLPA
169,1000,bekm,255.54393815994263,0.506006006006006,0.4399554653016899,20,BEKM
180,200,blpa,106.7760043144226,0.7837837837837838,0.7136257396143905,8,BLPA
181,200,bekm,259.604877948761,0.524024024024024,0.4577121785318507,18,BEKM
182,400,blpa,212.32938718795776,0.7252252252252253,0.6683269633162552,14,BLPA
183,400,bekm,285.5276019573212,0.506006006006006,0.4421152109108148,20,BEKM
186,800,blpa,247.75492978096008,0.6426426426426426,0.5906200692199935,19,BLPA
187,800,bekm,260.1519863605499,0.5,0.4367058494175965,20,BEKM
188,1000,blpa,268.3695328235626,0.6216216216216216,0.5697653645233901,20,BLPA
189,1000,bekm,266.8313322067261,0.487987987987988,0.4300660650052605,20,BEKM
