,# edges,setting,accuracy,running time
68,1000,min-degree-R,0.7490774907749077,1.8511943817138672
69,1000,min-degree-U,0.8413284132841329,4.0863683223724365
70,100,saliency-R,0.8505535055350554,2.221956968307495
71,100,saliency-U,0.8339483394833949,4.1846394538879395
72,200,saliency-R,0.8431734317343174,2.0467581748962402
73,200,saliency-U,0.8321033210332104,2.808232545852661
74,400,saliency-R,0.8450184501845018,1.846825122833252
75,400,saliency-U,0.8284132841328413,3.3419790267944336
76,800,saliency-R,0.8321033210332104,1.9835009574890137
77,800,saliency-U,0.8265682656826568,2.2723801136016846
78,1000,saliency-R,0.8431734317343174,1.9924170970916748
79,1000,saliency-U,0.8247232472324724,5.212135553359985
80,100,random-R,0.8431734317343174,2.2161223888397217
81,100,random-U,0.8321033210332104,3.1624374389648438
82,200,random-R,0.8431734317343174,1.9797420501708984
83,200,random-U,0.8321033210332104,2.9470701217651367
84,400,random-R,0.8081180811808119,1.8918817043304443
85,400,random-U,0.8302583025830258,3.6635518074035645
86,800,random-R,0.8339483394833949,1.8761026859283447
87,800,random-U,0.8247232472324724,2.458449125289917
88,1000,random-R,0.7952029520295203,1.8632702827453613
89,1000,random-U,0.8265682656826568,2.5278990268707275
90,100,max-degree-R,0.8376383763837638,2.103947162628174
91,100,max-degree-U,0.8265682656826568,4.436827182769775
92,200,max-degree-R,0.8394833948339483,2.069490909576416
93,200,max-degree-U,0.8265682656826568,2.957629442214966
94,400,max-degree-R,0.8357933579335793,2.138063430786133
95,400,max-degree-U,0.8265682656826568,2.49638295173645
96,800,max-degree-R,0.8321033210332104,2.1245155334472656
97,800,max-degree-U,0.8191881918819188,2.5084643363952637
98,1000,max-degree-R,0.8302583025830258,2.059466600418091
99,1000,max-degree-U,0.8228782287822878,2.7986838817596436
100,100,min-degree-R,0.8007380073800738,2.2462971210479736
101,100,min-degree-U,0.8339483394833949,2.8294975757598877
102,200,min-degree-R,0.7896678966789668,2.0672855377197266
103,200,min-degree-U,0.8376383763837638,3.7292001247406006
104,400,min-degree-R,0.8099630996309963,2.609555244445801
105,400,min-degree-U,0.8357933579335793,2.4571657180786133
106,800,min-degree-R,0.7619926199261993,1.9033300876617432
107,800,min-degree-U,0.8321033210332104,3.322596311569214
108,1000,min-degree-R,0.7490774907749077,1.8776204586029053
109,1000,min-degree-U,0.8413284132841329,4.065441370010376
110,100,saliency-R,0.8431734317343174,2.063826322555542
111,100,saliency-U,0.8339483394833949,2.8182618618011475
112,200,saliency-R,0.8468634686346863,2.155195713043213
113,200,saliency-U,0.8321033210332104,2.9168810844421387
114,400,saliency-R,0.8468634686346863,1.9337036609649658
115,400,saliency-U,0.8284132841328413,2.9021079540252686
116,800,saliency-R,0.8284132841328413,2.0598011016845703
117,800,saliency-U,0.8265682656826568,3.502379894256592
118,1000,saliency-R,0.8394833948339483,2.005704164505005
119,1000,saliency-U,0.8247232472324724,3.2828524112701416
120,100,random-R,0.8450184501845018,2.008539915084839
121,100,random-U,0.8284132841328413,3.438148260116577
122,200,random-R,0.8321033210332104,2.135334014892578
123,200,random-U,0.8228782287822878,3.290956735610962
124,400,random-R,0.8413284132841329,2.10400652885437
125,400,random-U,0.8357933579335793,4.333177089691162
126,800,random-R,0.8154981549815498,2.068181276321411
127,800,random-U,0.8136531365313653,3.3396782875061035
128,1000,random-R,0.8062730627306273,2.100949287414551
129,1000,random-U,0.8191881918819188,2.4851763248443604
130,100,max-degree-R,0.8357933579335793,2.364043712615967
131,100,max-degree-U,0.8265682656826568,3.9334657192230225
132,200,max-degree-R,0.8413284132841329,2.1259138584136963
133,200,max-degree-U,0.8265682656826568,2.7022318840026855
134,400,max-degree-R,0.8376383763837638,2.114673614501953
135,400,max-degree-U,0.8265682656826568,2.7352025508880615
136,800,max-degree-R,0.8339483394833949,1.9664931297302246
137,800,max-degree-U,0.8191881918819188,3.5872318744659424
138,1000,max-degree-R,0.8394833948339483,2.0645899772644043
139,1000,max-degree-U,0.8228782287822878,3.7310476303100586
140,100,min-degree-R,0.8376383763837638,2.1960740089416504
141,100,min-degree-U,0.8339483394833949,3.347578525543213
142,200,min-degree-R,0.7878228782287823,2.1558852195739746
143,200,min-degree-U,0.8376383763837638,3.7886648178100586
144,400,min-degree-R,0.8099630996309963,2.0573017597198486
145,400,min-degree-U,0.8357933579335793,3.558785915374756
146,800,min-degree-R,0.7675276752767528,2.0151727199554443
147,800,min-degree-U,0.8321033210332104,3.2242627143859863
148,1000,min-degree-R,0.7509225092250923,1.938511610031128
149,1000,min-degree-U,0.8413284132841329,4.319405555725098
150,100,saliency-R,0.8468634686346863,1.94752836227417
151,100,saliency-U,0.8339483394833949,2.442277193069458
152,200,saliency-R,0.8394833948339483,1.9749290943145752
153,200,saliency-U,0.8321033210332104,3.2957985401153564
154,400,saliency-R,0.8413284132841329,2.0168845653533936
155,400,saliency-U,0.8284132841328413,2.9605441093444824
156,800,saliency-R,0.8394833948339483,1.919813632965088
157,800,saliency-U,0.8265682656826568,4.668868064880371
158,1000,saliency-R,0.8394833948339483,1.9192168712615967
159,1000,saliency-U,0.8247232472324724,3.2470288276672363
160,100,random-R,0.8339483394833949,2.4724719524383545
161,100,random-U,0.8302583025830258,3.40787935256958
162,200,random-R,0.8394833948339483,1.9762163162231445
163,200,random-U,0.8228782287822878,3.238804578781128
164,400,random-R,0.8228782287822878,1.9490289688110352
165,400,random-U,0.8247232472324724,3.524934768676758
166,800,random-R,0.8154981549815498,1.885166883468628
167,800,random-U,0.8210332103321033,2.991549491882324
168,1000,random-R,0.8136531365313653,2.00467586517334
169,1000,random-U,0.8247232472324724,3.2096455097198486
170,100,max-degree-R,0.8357933579335793,2.380307912826538
171,100,max-degree-U,0.8265682656826568,3.383392095565796
172,200,max-degree-R,0.8431734317343174,2.2647833824157715
173,200,max-degree-U,0.8265682656826568,3.3390347957611084
174,400,max-degree-R,0.8247232472324724,2.3488800525665283
175,400,max-degree-U,0.8265682656826568,3.5301308631896973
176,800,max-degree-R,0.8228782287822878,2.561018228530884
177,800,max-degree-U,0.8191881918819188,3.30660343170166
178,1000,max-degree-R,0.8339483394833949,2.352165460586548
179,1000,max-degree-U,0.8228782287822878,2.6472673416137695
180,100,min-degree-R,0.8062730627306273,2.4094772338867188
181,100,min-degree-U,0.8339483394833949,2.8042871952056885
182,200,min-degree-R,0.8321033210332104,2.369075059890747
183,200,min-degree-U,0.8376383763837638,4.632643461227417
184,400,min-degree-R,0.8062730627306273,2.4410548210144043
185,400,min-degree-U,0.8357933579335793,3.4161510467529297
186,800,min-degree-R,0.7693726937269373,2.0397002696990967
187,800,min-degree-U,0.8321033210332104,3.150590181350708
188,1000,min-degree-R,0.7546125461254612,1.8691349029541016
189,1000,min-degree-U,0.8413284132841329,2.963930606842041
190,100,saliency-R,0.8505535055350554,2.1122946739196777
191,100,saliency-U,0.8339483394833949,2.79123854637146
192,200,saliency-R,0.8450184501845018,2.1612184047698975
193,200,saliency-U,0.8321033210332104,3.4910407066345215
194,400,saliency-R,0.8376383763837638,2.1628472805023193
195,400,saliency-U,0.8284132841328413,2.6147310733795166
196,800,saliency-R,0.8450184501845018,2.101691961288452
197,800,saliency-U,0.8265682656826568,3.4484214782714844
198,1000,saliency-R,0.8394833948339483,2.1922104358673096
199,1000,saliency-U,0.8247232472324724,3.114379405975342
200,100,random-R,0.8321033210332104,2.1356987953186035
201,100,random-U,0.8321033210332104,3.0172483921051025
202,200,random-R,0.8431734317343174,2.04250431060791
203,200,random-U,0.8247232472324724,3.338869571685791
204,400,random-R,0.8394833948339483,1.9883408546447754
205,400,random-U,0.8210332103321033,3.0363450050354004
206,800,random-R,0.8173431734317343,2.2387619018554688
207,800,random-U,0.8228782287822878,2.5877978801727295
208,1000,random-R,0.7988929889298892,1.8705077171325684
209,1000,random-U,0.8210332103321033,2.3823118209838867
210,100,max-degree-R,0.8376383763837638,2.2155873775482178
211,100,max-degree-U,0.8265682656826568,3.553645133972168
212,200,max-degree-R,0.8339483394833949,2.0373988151550293
213,200,max-degree-U,0.8265682656826568,3.3465476036071777
214,400,max-degree-R,0.8339483394833949,2.068470001220703
215,400,max-degree-U,0.8265682656826568,3.8025407791137695
216,800,max-degree-R,0.8302583025830258,2.0843417644500732
217,800,max-degree-U,0.8191881918819188,3.264622926712036
218,1000,max-degree-R,0.8173431734317343,1.9229726791381836
219,1000,max-degree-U,0.8228782287822878,2.8791072368621826
220,100,min-degree-R,0.8302583025830258,2.0006895065307617
221,100,min-degree-U,0.8339483394833949,3.7072010040283203
222,200,min-degree-R,0.8339483394833949,2.072389841079712
223,200,min-degree-U,0.8376383763837638,3.7022087574005127
224,400,min-degree-R,0.7638376383763837,1.9716849327087402
225,400,min-degree-U,0.8357933579335793,3.7364866733551025
226,800,min-degree-R,0.7066420664206642,2.41969895362854
227,800,min-degree-U,0.8321033210332104,3.643425703048706
228,1000,min-degree-R,0.7583025830258303,2.0370357036590576
229,1000,min-degree-U,0.8413284132841329,2.946359395980835
230,100,saliency-R,0.8413284132841329,2.0291953086853027
231,100,saliency-U,0.8339483394833949,3.6012439727783203
232,200,saliency-R,0.8431734317343174,2.416778087615967
233,200,saliency-U,0.8321033210332104,4.796661138534546
234,400,saliency-R,0.8450184501845018,1.931255578994751
235,400,saliency-U,0.8284132841328413,3.2401793003082275
236,800,saliency-R,0.8468634686346863,2.115126132965088
237,800,saliency-U,0.8265682656826568,2.9079859256744385
238,1000,saliency-R,0.8357933579335793,1.995849609375
239,1000,saliency-U,0.8247232472324724,2.922668218612671
240,100,random-R,0.8376383763837638,2.109663963317871
241,100,random-U,0.8284132841328413,2.111745834350586
242,200,random-R,0.8339483394833949,1.9170911312103271
243,200,random-U,0.8210332103321033,2.963918924331665
244,400,random-R,0.8284132841328413,2.0846307277679443
245,400,random-U,0.8284132841328413,3.338162899017334
246,800,random-R,0.8321033210332104,2.000535726547241
247,800,random-U,0.8210332103321033,2.945056915283203
248,1000,random-R,0.8081180811808119,1.998304843902588
249,1000,random-U,0.8210332103321033,4.0606091022491455
