,# edges,setting,privacy leakage
261,300,max-degree-O,0.89
262,300,max-degree-R,0.20666666666666667
263,300,max-degree-U,0.31000000000000005
264,400,max-degree-O,0.91
265,400,max-degree-R,0.22250000000000003
266,400,max-degree-U,0.21750000000000003
267,500,max-degree-O,0.862
268,500,max-degree-R,0.050000000000000044
269,500,max-degree-U,0.06000000000000005
270,100,min-degree-O,0.82
271,100,min-degree-R,0.19999999999999996
272,100,min-degree-U,0.18999999999999995
273,200,min-degree-O,0.8
274,200,min-degree-R,0.010000000000000009
275,200,min-degree-U,0.015000000000000013
276,300,min-degree-O,0.84
277,300,min-degree-R,0.013333333333333308
278,300,min-degree-U,0.013333333333333308
279,400,min-degree-O,0.7925
280,400,min-degree-R,0.020000000000000018
281,400,min-degree-U,0.02749999999999997
282,500,min-degree-O,0.76
283,500,min-degree-R,0.020000000000000018
284,500,min-degree-U,0.018000000000000016
285,100,saliency-O,0.74
286,100,saliency-R,0.29000000000000004
287,100,saliency-U,0.6
288,200,saliency-O,0.925
289,200,saliency-R,0.745
290,200,saliency-U,0.795
291,300,saliency-O,0.7833333333333333
292,300,saliency-R,0.28
293,300,saliency-U,0.43666666666666665
294,400,saliency-O,0.7825
295,400,saliency-R,0.795
296,400,saliency-U,0.73
297,500,saliency-O,0.878
298,500,saliency-R,0.624
299,500,saliency-U,0.618
300,100,random-O,0.78
301,100,random-R,0.42000000000000004
302,100,random-U,0.41000000000000003
303,200,random-O,0.775
304,200,random-R,0.505
305,200,random-U,0.43000000000000005
306,300,random-O,0.7533333333333333
307,300,random-R,0.3666666666666667
308,300,random-U,0.4
309,400,random-O,0.74
310,400,random-R,0.39249999999999996
311,400,random-U,0.39
312,500,random-O,0.802
313,500,random-R,0.358
314,500,random-U,0.354
315,100,max-degree-O,0.95
316,100,max-degree-R,0.78
317,100,max-degree-U,0.78
318,200,max-degree-O,0.91
319,200,max-degree-R,0.15500000000000003
320,200,max-degree-U,0.14500000000000002
321,300,max-degree-O,0.89
322,300,max-degree-R,0.18666666666666665
323,300,max-degree-U,0.18000000000000005
324,400,max-degree-O,0.8975
325,400,max-degree-R,0.13
326,400,max-degree-U,0.03500000000000003
327,500,max-degree-O,0.852
328,500,max-degree-R,0.06000000000000005
329,500,max-degree-U,0.05800000000000005
330,100,min-degree-O,0.76
331,100,min-degree-R,0.010000000000000009
332,100,min-degree-U,0.010000000000000009
333,200,min-degree-O,0.765
334,200,min-degree-R,0.015000000000000013
335,200,min-degree-U,0.010000000000000009
336,300,min-degree-O,0.7666666666666667
337,300,min-degree-R,0.013333333333333308
338,300,min-degree-U,0.010000000000000009
339,400,min-degree-O,0.7775
340,400,min-degree-R,0.010000000000000009
341,400,min-degree-U,0.02749999999999997
342,500,min-degree-O,0.814
343,500,min-degree-R,0.02200000000000002
344,500,min-degree-U,0.020000000000000018
345,100,saliency-O,0.85
346,100,saliency-R,0.78
347,100,saliency-U,0.83
348,200,saliency-O,0.915
349,200,saliency-R,0.7050000000000001
350,200,saliency-U,0.8
351,300,saliency-O,0.8
352,300,saliency-R,0.8
353,300,saliency-U,0.4866666666666667
354,400,saliency-O,0.795
355,400,saliency-R,0.3225
356,400,saliency-U,0.16749999999999998
357,500,saliency-O,0.798
358,500,saliency-R,0.0020000000000000018
359,500,saliency-U,0.05800000000000005
360,100,random-O,0.8
361,100,random-R,0.44999999999999996
362,100,random-U,0.42000000000000004
363,200,random-O,0.795
364,200,random-R,0.43500000000000005
365,200,random-U,0.43500000000000005
366,300,random-O,0.7533333333333333
367,300,random-R,0.4833333333333333
368,300,random-U,0.52
369,400,random-O,0.76
370,400,random-R,0.385
371,400,random-U,0.35750000000000004
372,500,random-O,0.772
373,500,random-R,0.45799999999999996
374,500,random-U,0.33799999999999997
375,100,max-degree-O,0.96
376,100,max-degree-R,0.5900000000000001
377,100,max-degree-U,0.81
378,200,max-degree-O,0.935
379,200,max-degree-R,0.16000000000000003
380,200,max-degree-U,0.30000000000000004
381,300,max-degree-O,0.8633333333333333
