,# edges,setting,accuracy,running time
228,1000,min-degree-R,0.7380073800738007,3.155906915664673
229,1000,min-degree-U,0.8062730627306273,2.063739061355591
230,100,saliency-R,0.8302583025830258,3.279916763305664
231,100,saliency-U,0.8265682656826568,2.3005592823028564
232,200,saliency-R,0.8265682656826568,4.239865303039551
233,200,saliency-U,0.8265682656826568,2.587165355682373
234,400,saliency-R,0.8357933579335793,3.451939344406128
235,400,saliency-U,0.8265682656826568,2.1995761394500732
236,800,saliency-R,0.8376383763837638,3.987515449523926
237,800,saliency-U,0.8265682656826568,1.9628212451934814
238,1000,saliency-R,0.8191881918819188,3.804730176925659
239,1000,saliency-U,0.8265682656826568,1.8928050994873047
240,100,random-R,0.8413284132841329,3.1673030853271484
241,100,random-U,0.8284132841328413,1.2800803184509277
242,200,random-R,0.7988929889298892,3.563317060470581
243,200,random-U,0.8265682656826568,2.0297396183013916
244,400,random-R,0.8007380073800738,3.4486865997314453
245,400,random-U,0.8265682656826568,1.6970369815826416
246,800,random-R,0.7952029520295203,2.9078750610351562
247,800,random-U,0.8191881918819188,1.3585233688354492
248,1000,random-R,0.7952029520295203,3.1964340209960938
249,1000,random-U,0.8228782287822878,1.1378273963928223
250,100,max-degree-R,0.8357933579335793,3.58379864692688
251,100,max-degree-U,0.8247232472324724,1.9333477020263672
252,200,max-degree-R,0.8265682656826568,3.4530091285705566
253,200,max-degree-U,0.8265682656826568,1.8387835025787354
254,400,max-degree-R,0.8302583025830258,3.9936540126800537
255,400,max-degree-U,0.8228782287822878,1.992940902709961
256,800,max-degree-R,0.8191881918819188,4.216725587844849
257,800,max-degree-U,0.8173431734317343,1.1687049865722656
258,1000,max-degree-R,0.8118081180811808,3.43111252784729
259,1000,max-degree-U,0.8173431734317343,1.6622262001037598
260,100,min-degree-R,0.8284132841328413,3.55796480178833
261,100,min-degree-U,0.8265682656826568,2.1649436950683594
262,200,min-degree-R,0.8210332103321033,3.4021148681640625
263,200,min-degree-U,0.8228782287822878,2.3837263584136963
