,# edges,setting,accuracy,f1
51,100,unlearn,0.7162162162162162,0.6680660321163776
52,200,retrain,0.6951951951951952,0.6512392042323903
53,200,unlearn,0.7207207207207207,0.6747789961290152
54,400,retrain,0.7027027027027027,0.6526209684610655
55,400,unlearn,0.7102102102102102,0.668063183265521
56,800,retrain,0.6441441441441441,0.6080254072470866
57,800,unlearn,0.7057057057057057,0.6646508137736209
58,1000,retrain,0.6516516516516516,0.6036710656537564
59,1000,unlearn,0.7042042042042042,0.6613255029059921
60,0,retrain,0.7042042042042042,0.6140393088060399
61,0,unlearn,0.7042042042042042,0.6140393088060399
62,100,retrain,0.7147147147147147,0.6584856535294118
63,100,unlearn,0.6861861861861862,0.5952909849237981
64,200,retrain,0.7027027027027027,0.6641202319778182
65,200,unlearn,0.6861861861861862,0.5947243176479909
66,400,retrain,0.6771771771771772,0.6383201700436026
67,400,unlearn,0.6816816816816816,0.5915760689164112
68,800,retrain,0.6711711711711712,0.6293737697054346
69,800,unlearn,0.6801801801801802,0.5913219108056832
70,1000,retrain,0.6651651651651652,0.623648810490757
71,1000,unlearn,0.6741741741741741,0.5858295477007446
72,0,retrain,0.7192192192192193,0.671429212675957
73,0,unlearn,0.7192192192192193,0.671429212675957
74,100,retrain,0.7282282282282282,0.6799356390946761
75,100,unlearn,0.6621621621621622,0.5789902568106041
76,200,retrain,0.7087087087087087,0.669805730273399
77,200,unlearn,0.6651651651651652,0.5820934448501589
78,400,retrain,0.7042042042042042,0.6541515008265608
79,400,unlearn,0.6681681681681682,0.5853308340591462
80,800,retrain,0.6546546546546547,0.625160692711208
81,800,unlearn,0.6681681681681682,0.5859403553146718
82,1000,retrain,0.6606606606606606,0.6002796740783519
83,1000,unlearn,0.6651651651651652,0.5829596424266831
84,0,retrain,0.6936936936936937,0.6525138996360546
85,0,unlearn,0.6936936936936937,0.6525138996360546
86,100,retrain,0.7042042042042042,0.6596655846756324
87,100,unlearn,0.6606606606606606,0.5732849406311129
88,200,retrain,0.6996996996996997,0.6467839504540384
89,200,unlearn,0.6576576576576577,0.5701792502897198
90,400,retrain,0.6921921921921922,0.6201597289606554
91,400,unlearn,0.6561561561561562,0.569080059385347
92,800,retrain,0.6396396396396397,0.6023474037167583
93,800,unlearn,0.6576576576576577,0.5725603583891355
94,1000,retrain,0.6231231231231231,0.5937957731835641
95,1000,unlearn,0.6516516516516516,0.5686031673528363
96,0,retrain,0.7207207207207207,0.6795573379579604
97,0,unlearn,0.7207207207207207,0.6795573379579604
98,100,retrain,0.7192192192192193,0.6710169603895341
99,100,unlearn,0.6906906906906907,0.6023288142676382
100,200,retrain,0.7057057057057057,0.6670569836947896
101,200,unlearn,0.6891891891891891,0.601642360869757
102,400,retrain,0.6831831831831832,0.6349868256911475
103,400,unlearn,0.6876876876876877,0.6003520959605285
104,800,retrain,0.6411411411411412,0.6102515160645119
105,800,unlearn,0.6876876876876877,0.6003644617427754
106,1000,retrain,0.6441441441441441,0.6184946013314714
107,1000,unlearn,0.6891891891891891,0.601281226574804
108,0,retrain,0.7147147147147147,0.6713766715375783
109,0,unlearn,0.7147147147147147,0.6713766715375783
110,100,retrain,0.7177177177177178,0.6723417486426441
111,100,unlearn,0.6666666666666666,0.5791468860383442
112,200,retrain,0.7057057057057057,0.6549335662224158
113,200,unlearn,0.6651651651651652,0.5777587025147547
114,400,retrain,0.6981981981981982,0.6455916751534608
115,400,unlearn,0.6666666666666666,0.5790103977057945
116,800,retrain,0.6546546546546547,0.5662471284543377
117,800,unlearn,0.6876876876876877,0.5994536606042509
118,1000,retrain,0.6471471471471472,0.6015080689039761
119,1000,unlearn,0.6846846846846847,0.5968788815718424
