,# edges,setting,accuracy,privacy leakage
656,1800,max-degree-U,0.5234899328859061,0.7222222222222222
657,2000,max-degree-O,0.0,0.365
658,2000,max-degree-R,0.8590604026845637,0.7465
659,2000,max-degree-U,0.5234899328859061,0.7435
660,200,min-degree-O,0.0,0.235
661,200,min-degree-R,0.8120805369127517,0.925
662,200,min-degree-U,0.8087248322147651,0.955
663,400,min-degree-O,0.0,0.35
664,400,min-degree-R,0.8389261744966443,0.905
665,400,min-degree-U,0.8053691275167785,0.935
666,600,min-degree-O,0.0,0.06833333333333333
667,600,min-degree-R,0.8087248322147651,0.8966666666666666
668,600,min-degree-U,0.7986577181208053,0.9433333333333334
669,800,min-degree-O,0.0,0.29
670,800,min-degree-R,0.825503355704698,0.91125
671,800,min-degree-U,0.8087248322147651,0.9725
672,1000,min-degree-O,0.0,0.089
673,1000,min-degree-R,0.8322147651006712,0.961
674,1000,min-degree-U,0.8053691275167785,0.944
675,1200,min-degree-O,0.0,0.125
676,1200,min-degree-R,0.8154362416107382,0.9308333333333333
677,1200,min-degree-U,0.8053691275167785,0.9191666666666667
678,1400,min-degree-O,0.0,0.08428571428571428
679,1400,min-degree-R,0.8557046979865772,0.92
680,1400,min-degree-U,0.8053691275167785,0.9328571428571428
681,1600,min-degree-O,0.0,0.195
682,1600,min-degree-R,0.8355704697986577,0.941875
683,1600,min-degree-U,0.8053691275167785,0.94875
684,1800,min-degree-O,0.0,0.12277777777777778
685,1800,min-degree-R,0.8389261744966443,0.885
686,1800,min-degree-U,0.7986577181208053,0.9166666666666666
687,2000,min-degree-O,0.0,0.195
688,2000,min-degree-R,0.8355704697986577,0.949
689,2000,min-degree-U,0.7953020134228188,0.921
690,200,saliency-O,0.0,0.005
691,200,saliency-R,0.8221476510067114,0.995
692,200,saliency-U,0.8187919463087249,1.0
693,400,saliency-O,0.0,0.0025
694,400,saliency-R,0.8523489932885906,1.0
695,400,saliency-U,0.8187919463087249,1.0
696,600,saliency-O,0.0,0.0016666666666666668
697,600,saliency-R,0.8523489932885906,1.0
698,600,saliency-U,0.8187919463087249,1.0
699,800,saliency-O,0.0,0.4375
700,800,saliency-R,0.8657718120805369,1.0
701,800,saliency-U,0.8187919463087249,1.0
702,1000,saliency-O,0.0,0.011
703,1000,saliency-R,0.8523489932885906,1.0
