,# edges,setting,accuracy,f1
89,200,unlearn,0.8590604026845637,0.8588314910895556
90,400,retrain,0.8624161073825504,0.8622904996449623
91,400,unlearn,0.8590604026845637,0.8588314910895556
92,800,retrain,0.8624161073825504,0.8622904996449623
93,800,unlearn,0.8590604026845637,0.8588314910895556
94,1000,retrain,0.8489932885906041,0.8460796804517752
95,1000,unlearn,0.8590604026845637,0.8588314910895556
96,0,retrain,0.8657718120805369,0.865717375630858
97,0,unlearn,0.8657718120805369,0.865717375630858
98,100,retrain,0.8657718120805369,0.8635531135531136
99,100,unlearn,0.8624161073825504,0.8623401498507126
100,200,retrain,0.8691275167785235,0.8690080362476471
101,200,unlearn,0.8624161073825504,0.8623401498507126
102,400,retrain,0.8691275167785235,0.8690080362476471
103,400,unlearn,0.8624161073825504,0.8623401498507126
104,800,retrain,0.8624161073825504,0.8597614866338394
105,800,unlearn,0.8657718120805369,0.8656750056344378
106,1000,retrain,0.8557046979865772,0.8556640646999853
107,1000,unlearn,0.8657718120805369,0.8656750056344378
108,0,retrain,0.8691275167785235,0.8690080362476471
109,0,unlearn,0.8691275167785235,0.8690080362476471
110,100,retrain,0.87248322147651,0.8723394660894661
111,100,unlearn,0.8489932885906041,0.8451411744327039
112,200,retrain,0.87248322147651,0.8723394660894661
113,200,unlearn,0.8489932885906041,0.8451411744327039
114,400,retrain,0.8657718120805369,0.8656204906204906
115,400,unlearn,0.8456375838926175,0.8415260115606936
116,800,retrain,0.8657718120805369,0.8656204906204906
117,800,unlearn,0.8389261744966443,0.8342602892102335
118,1000,retrain,0.8489932885906041,0.8457823011902709
119,1000,unlearn,0.8355704697986577,0.8306091435332876
