,# edges,setting,Accuracy
111,400,max-degree-U,0.7516778523489933
112,600,max-degree-U,0.7483221476510067
113,800,max-degree-U,0.7449664429530202
114,1000,max-degree-U,0.7449664429530202
115,1200,max-degree-U,0.7449664429530202
116,1400,max-degree-U,0.7449664429530202
117,1600,max-degree-U,0.7449664429530202
118,1800,max-degree-U,0.7449664429530202
119,2000,max-degree-U,0.7449664429530202
120,200,min-degree-R,0.7684563758389261
121,400,min-degree-R,0.7718120805369127
122,600,min-degree-R,0.7684563758389261
123,800,min-degree-R,0.761744966442953
124,1000,min-degree-R,0.7718120805369127
125,1200,min-degree-R,0.738255033557047
126,1400,min-degree-R,0.7483221476510067
127,1600,min-degree-R,0.7315436241610739
128,1800,min-degree-R,0.7248322147651006
129,2000,min-degree-R,0.7315436241610739
130,200,min-degree-U,0.7718120805369127
131,400,min-degree-U,0.7684563758389261
132,600,min-degree-U,0.761744966442953
133,800,min-degree-U,0.761744966442953
134,1000,min-degree-U,0.7651006711409396
135,1200,min-degree-U,0.761744966442953
136,1400,min-degree-U,0.7550335570469798
137,1600,min-degree-U,0.7516778523489933
138,1800,min-degree-U,0.761744966442953
139,2000,min-degree-U,0.761744966442953
140,200,saliency-R,0.7550335570469798
141,400,saliency-R,0.7718120805369127
142,600,saliency-R,0.7651006711409396
143,800,saliency-R,0.7583892617449665
144,1000,saliency-R,0.7550335570469798
145,1200,saliency-R,0.7483221476510067
146,1400,saliency-R,0.761744966442953
147,1600,saliency-R,0.7483221476510067
148,1800,saliency-R,0.7550335570469798
149,2000,saliency-R,0.7684563758389261
150,200,saliency-U,0.7550335570469798
151,400,saliency-U,0.7550335570469798
152,600,saliency-U,0.7583892617449665
153,800,saliency-U,0.7550335570469798
154,1000,saliency-U,0.761744966442953
155,1200,saliency-U,0.761744966442953
156,1400,saliency-U,0.7583892617449665
157,1600,saliency-U,0.761744966442953
158,1800,saliency-U,0.7583892617449665
159,2000,saliency-U,0.7583892617449665
160,200,random-R,0.7651006711409396
161,400,random-R,0.7550335570469798
162,600,random-R,0.7483221476510067
163,800,random-R,0.7583892617449665
164,1000,random-R,0.7449664429530202
165,1200,random-R,0.7416107382550335
166,1400,random-R,0.7348993288590604
167,1600,random-R,0.7449664429530202
168,1800,random-R,0.7516778523489933
169,2000,random-R,0.7315436241610739
170,200,random-U,0.7550335570469798
171,400,random-U,0.7583892617449665
172,600,random-U,0.7583892617449665
173,800,random-U,0.7449664429530202
174,1000,random-U,0.7516778523489933
175,1200,random-U,0.7516778523489933
176,1400,random-U,0.7550335570469798
177,1600,random-U,0.7449664429530202
178,1800,random-U,0.7483221476510067
179,2000,random-U,0.7483221476510067
180,200,max-degree-R,0.7583892617449665
181,400,max-degree-R,0.7483221476510067
182,600,max-degree-R,0.7516778523489933
183,800,max-degree-R,0.7483221476510067
184,1000,max-degree-R,0.7550335570469798
185,1200,max-degree-R,0.7516778523489933
186,1400,max-degree-R,0.7416107382550335
187,1600,max-degree-R,0.7315436241610739
188,1800,max-degree-R,0.7348993288590604
189,2000,max-degree-R,0.7583892617449665
190,200,max-degree-U,0.7583892617449665
191,400,max-degree-U,0.7516778523489933
192,600,max-degree-U,0.7516778523489933
193,800,max-degree-U,0.7550335570469798
194,1000,max-degree-U,0.7550335570469798
195,1200,max-degree-U,0.7550335570469798
196,1400,max-degree-U,0.7449664429530202
197,1600,max-degree-U,0.7449664429530202
198,1800,max-degree-U,0.7449664429530202
199,2000,max-degree-U,0.7416107382550335
200,200,min-degree-R,0.7516778523489933
201,400,min-degree-R,0.7684563758389261
202,600,min-degree-R,0.761744966442953
203,800,min-degree-R,0.7550335570469798
