,# edges,setting,accuracy,running time
36,800,saliency-R,0.6816816816816816,2.817605972290039
37,800,saliency-U,0.6801801801801802,4.781762361526489
38,1000,saliency-R,0.6531531531531531,2.4800472259521484
39,1000,saliency-U,0.6816816816816816,3.5152182579040527
40,100,random-R,0.6816816816816816,2.5682291984558105
41,100,random-U,0.7042042042042042,2.9076638221740723
42,200,random-R,0.7042042042042042,2.36079740524292
43,200,random-U,0.7042042042042042,3.101276159286499
44,400,random-R,0.6756756756756757,2.161177158355713
45,400,random-U,0.7012012012012012,4.127891540527344
46,800,random-R,0.6531531531531531,3.165148973464966
47,800,random-U,0.6906906906906907,4.7665159702301025
48,1000,random-R,0.6291291291291291,2.580211639404297
49,1000,random-U,0.6876876876876877,6.797744512557983
50,100,max-degree-R,0.7012012012012012,2.9223132133483887
51,100,max-degree-U,0.7072072072072072,4.484683990478516
52,200,max-degree-R,0.7072072072072072,2.7653446197509766
53,200,max-degree-U,0.7072072072072072,3.311131477355957
54,400,max-degree-R,0.6816816816816816,2.6274189949035645
55,400,max-degree-U,0.7012012012012012,4.089970350265503
56,800,max-degree-R,0.6786786786786787,3.0305423736572266
57,800,max-degree-U,0.6981981981981982,5.423368453979492
58,1000,max-degree-R,0.6936936936936937,2.764460325241089
59,1000,max-degree-U,0.6966966966966966,3.507328510284424
60,100,min-degree-R,0.6741741741741741,2.7346031665802
61,100,min-degree-U,0.7087087087087087,5.494455575942993
62,200,min-degree-R,0.6876876876876877,2.332610607147217
63,200,min-degree-U,0.7042042042042042,2.937389612197876
64,400,min-degree-R,0.6471471471471472,2.863468885421753
65,400,min-degree-U,0.6981981981981982,2.8453078269958496
66,800,min-degree-R,0.551051051051051,3.785235643386841
67,800,min-degree-U,0.6906906906906907,4.913776636123657
68,1000,min-degree-R,0.5075075075075075,3.4816105365753174
69,1000,min-degree-U,0.6876876876876877,4.654439926147461
70,100,saliency-R,0.7102102102102102,3.2358057498931885
71,100,saliency-U,0.7012012012012012,4.059614181518555
72,200,saliency-R,0.6741741741741741,2.7907049655914307
73,200,saliency-U,0.6981981981981982,4.266332626342773
74,400,saliency-R,0.6696696696696697,3.0147221088409424
75,400,saliency-U,0.6981981981981982,4.422069549560547
76,800,saliency-R,0.6831831831831832,2.6534740924835205
77,800,saliency-U,0.6801801801801802,4.322879791259766
78,1000,saliency-R,0.6501501501501501,2.441091537475586
79,1000,saliency-U,0.6816816816816816,3.050438165664673
80,100,random-R,0.6921921921921922,2.4947702884674072
81,100,random-U,0.7087087087087087,3.9764981269836426
82,200,random-R,0.6951951951951952,2.529688596725464
83,200,random-U,0.7042042042042042,3.3729498386383057
