,# edges,setting,privacy leakage
127,300,random-R,0.4666666666666667
128,300,random-U,0.45666666666666667
129,400,random-O,0.675
130,400,random-R,0.42500000000000004
131,400,random-U,0.505
132,500,random-O,0.662
133,500,random-R,0.486
134,500,random-U,0.404
135,100,max-degree-O,0.76
136,100,max-degree-R,0.63
137,100,max-degree-U,0.6699999999999999
138,200,max-degree-O,0.8
139,200,max-degree-R,0.6699999999999999
140,200,max-degree-U,0.635
141,300,max-degree-O,0.8333333333333334
142,300,max-degree-R,0.6599999999999999
143,300,max-degree-U,0.6366666666666667
144,400,max-degree-O,0.8025
145,400,max-degree-R,0.635
146,400,max-degree-U,0.6375
147,500,max-degree-O,0.8
148,500,max-degree-R,0.6639999999999999
149,500,max-degree-U,0.528
150,100,min-degree-O,0.49
151,100,min-degree-R,0.16000000000000003
152,100,min-degree-U,0.19999999999999996
153,200,min-degree-O,0.525
154,200,min-degree-R,0.17000000000000004
155,200,min-degree-U,0.25
156,300,min-degree-O,0.5366666666666666
157,300,min-degree-R,0.24
158,300,min-degree-U,0.2633333333333333
159,400,min-degree-O,0.495
160,400,min-degree-R,0.23250000000000004
161,400,min-degree-U,0.31000000000000005
162,500,min-degree-O,0.55
163,500,min-degree-R,0.29200000000000004
164,500,min-degree-U,0.29600000000000004
165,100,saliency-O,0.55
166,100,saliency-R,0.12
167,100,saliency-U,0.09999999999999998
168,200,saliency-O,0.575
169,200,saliency-R,0.025000000000000022
170,200,saliency-U,0.0050000000000000044
171,300,saliency-O,0.5433333333333333
172,300,saliency-R,0.12
173,300,saliency-U,0.10999999999999999
174,400,saliency-O,0.5675
175,400,saliency-R,0.0050000000000000044
176,400,saliency-U,0.12
177,500,saliency-O,0.634
178,500,saliency-R,0.0020000000000000018
179,500,saliency-U,0.17400000000000004
180,100,random-O,0.74
181,100,random-R,0.38
182,100,random-U,0.49
183,200,random-O,0.67
184,200,random-R,0.525
185,200,random-U,0.48
186,300,random-O,0.6366666666666667
187,300,random-R,0.42000000000000004
188,300,random-U,0.4733333333333334
189,400,random-O,0.6675
190,400,random-R,0.49750000000000005
191,400,random-U,0.49750000000000005
192,500,random-O,0.68
193,500,random-R,0.46799999999999997
194,500,random-U,0.46399999999999997
195,100,max-degree-O,0.77
196,100,max-degree-R,0.75
197,100,max-degree-U,0.61
198,200,max-degree-O,0.765
199,200,max-degree-R,0.71
200,200,max-degree-U,0.585
201,300,max-degree-O,0.82
202,300,max-degree-R,0.6599999999999999
203,300,max-degree-U,0.65
204,400,max-degree-O,0.805
205,400,max-degree-R,0.65
206,400,max-degree-U,0.5449999999999999
207,500,max-degree-O,0.792
208,500,max-degree-R,0.652
209,500,max-degree-U,0.5920000000000001
210,100,min-degree-O,0.44
211,100,min-degree-R,0.25
212,100,min-degree-U,0.18999999999999995
213,200,min-degree-O,0.61
214,200,min-degree-R,0.22999999999999998
215,200,min-degree-U,0.265
216,300,min-degree-O,0.5033333333333333
217,300,min-degree-R,0.29666666666666663
218,300,min-degree-U,0.27
219,400,min-degree-O,0.52
220,400,min-degree-R,0.24250000000000005
221,400,min-degree-U,0.25749999999999995
222,500,min-degree-O,0.49
223,500,min-degree-R,0.28
224,500,min-degree-U,0.29800000000000004
225,100,saliency-O,0.51
226,100,saliency-R,0.10999999999999999
227,100,saliency-U,0.06999999999999995
228,200,saliency-O,0.525
229,200,saliency-R,0.12
230,200,saliency-U,0.0050000000000000044
231,300,saliency-O,0.48
232,300,saliency-R,0.10666666666666669
233,300,saliency-U,0.0033333333333332993
234,400,saliency-O,0.6175
235,400,saliency-R,0.0024999999999999467
236,400,saliency-U,0.12749999999999995
237,500,saliency-O,0.576
238,500,saliency-R,0.0020000000000000018
239,500,saliency-U,0.0020000000000000018
240,100,random-O,0.73
241,100,random-R,0.54
242,100,random-U,0.48
243,200,random-O,0.725
244,200,random-R,0.485
245,200,random-U,0.45999999999999996
246,300,random-O,0.65
247,300,random-R,0.4933333333333333
248,300,random-U,0.4666666666666667
