,# edges,partition,running time,accuracy,f1,# shards,setting
101,200,bekm,53.41272759437561,0.4059040590405904,0.3672988770889643,20,BEKM
102,400,blpa,69.20050191879272,0.6531365313653137,0.5944779815901349,20,BLPA
103,400,bekm,57.59341073036194,0.4169741697416974,0.3910991032413677,20,BEKM
106,800,blpa,69.53512787818909,0.6715867158671587,0.6239815554411915,20,BLPA
107,800,bekm,61.04452633857727,0.4225092250922509,0.3783279638189067,20,BEKM
108,1000,blpa,68.45044994354248,0.6420664206642066,0.5801604906671607,20,BLPA
109,1000,bekm,64.20982074737549,0.4243542435424354,0.3749403252683302,20,BEKM
120,200,blpa,69.4752311706543,0.6586715867158671,0.5987471686291654,19,BLPA
121,200,bekm,58.69207501411438,0.4077490774907749,0.3683818186171127,20,BEKM
122,400,blpa,76.63129758834839,0.6605166051660517,0.6074943540908712,20,BLPA
123,400,bekm,60.682756185531616,0.4428044280442804,0.3958212191035019,20,BEKM
126,800,blpa,73.43444848060608,0.6586715867158671,0.6058684304045718,20,BLPA
127,800,bekm,73.36475849151611,0.4280442804428044,0.3743908508166629,20,BEKM
128,1000,blpa,75.11712408065796,0.6476014760147601,0.6021630563789692,20,BLPA
129,1000,bekm,69.42114233970642,0.4261992619926199,0.3683655689929664,20,BEKM
140,200,blpa,68.52246975898743,0.6586715867158671,0.6138586520063978,19,BLPA
141,200,bekm,60.08869290351868,0.4483394833948339,0.4050760610516581,19,BEKM
142,400,blpa,70.59063839912415,0.6512915129151291,0.6022651716607378,20,BLPA
143,400,bekm,63.32392239570618,0.4335793357933579,0.3874566077837148,20,BEKM
146,800,blpa,71.77765488624573,0.6439114391143912,0.5870964078984903,20,BLPA
147,800,bekm,66.70048356056213,0.4409594095940959,0.3869440519201625,20,BEKM
148,1000,blpa,69.4245195388794,0.6217712177121771,0.5589987508963105,20,BLPA
149,1000,bekm,65.71249461174011,0.4280442804428044,0.3924262217040044,20,BEKM
160,200,blpa,71.83781337738037,0.6752767527675276,0.6295338981410776,20,BLPA
161,200,bekm,61.47478294372559,0.4391143911439114,0.4129302029406388,19,BEKM
162,400,blpa,75.16972732543945,0.6623616236162362,0.6004779849990375,20,BLPA
163,400,bekm,69.91711258888245,0.4225092250922509,0.3876326565965024,20,BEKM
166,800,blpa,74.80122447013855,0.6494464944649446,0.5924744988137203,20,BLPA
167,800,bekm,63.46034121513367,0.4280442804428044,0.390654891339157,20,BEKM
168,1000,blpa,73.97477293014526,0.6309963099630996,0.5707562502914824,20,BLPA
169,1000,bekm,61.08446002006531,0.4261992619926199,0.3779013520140961,20,BEKM
180,200,blpa,71.12878775596619,0.6697416974169742,0.6164444720394643,20,BLPA
181,200,bekm,64.34484052658081,0.4464944649446494,0.398702432269147,19,BEKM
182,400,blpa,71.61496877670288,0.6420664206642066,0.5870313723675775,20,BLPA
183,400,bekm,58.656046628952026,0.4354243542435424,0.3820240992824376,20,BEKM
186,800,blpa,71.92748785018921,0.6328413284132841,0.5670527537267611,20,BLPA
