,# edges,setting,accuracy,privacy leakage,running time
164,1000,min-degree-U,0.8450184501845018,0.04300000000000004,2.8533928394317627
165,100,saliency-O,0.0,0.8,0.0
166,100,saliency-R,0.8505535055350554,0.62,5.576626777648926
167,100,saliency-U,0.8542435424354243,0.62,3.9084014892578125
168,200,saliency-O,0.0,0.78,0.0
169,200,saliency-R,0.8505535055350554,0.64,5.194544553756714
170,200,saliency-U,0.8542435424354243,0.525,3.0302493572235107
171,400,saliency-O,0.0,0.8275,0.0
172,400,saliency-R,0.8505535055350554,0.0050000000000000044,5.672979831695557
173,400,saliency-U,0.8542435424354243,0.15500000000000003,3.4720137119293213
174,800,saliency-O,0.0,0.89875,0.0
175,800,saliency-R,0.8505535055350554,0.006249999999999978,5.873060941696167
176,800,saliency-U,0.8542435424354243,0.025000000000000022,2.6946702003479004
177,1000,saliency-O,0.0,0.737,0.0
178,1000,saliency-R,0.8431734317343174,0.567,6.635263919830322
179,1000,saliency-U,0.8542435424354243,0.597,3.169604539871216
180,100,random-O,0.0,0.69,0.0
181,100,random-R,0.8357933579335793,0.53,5.293881893157959
182,100,random-U,0.8523985239852399,0.51,3.7003276348114014
183,200,random-O,0.0,0.735,0.0
184,200,random-R,0.8431734317343174,0.38,6.794276714324951
185,200,random-U,0.8468634686346863,0.355,3.8730993270874023
186,400,random-O,0.0,0.79,0.0
187,400,random-R,0.8321033210332104,0.42000000000000004,7.346196174621582
188,400,random-U,0.8413284132841329,0.37250000000000005,3.381206750869751
189,800,random-O,0.0,0.7575,0.0
190,800,random-R,0.8284132841328413,0.41500000000000004,7.483063459396362
191,800,random-U,0.8450184501845018,0.41874999999999996,2.173588275909424
192,1000,random-O,0.0,0.675,0.0
193,1000,random-R,0.8173431734317343,0.43700000000000006,7.112009286880493
194,1000,random-U,0.8505535055350554,0.46499999999999997,6.065214395523071
195,100,max-degree-O,0.0,0.95,0.0
196,100,max-degree-R,0.8431734317343174,0.9,5.878724098205566
197,100,max-degree-U,0.8450184501845018,0.88,2.0216875076293945
198,200,max-degree-O,0.0,0.92,0.0
199,200,max-degree-R,0.8523985239852399,0.15500000000000003,5.584593772888184
200,200,max-degree-U,0.8450184501845018,0.17000000000000004,2.2119743824005127
201,400,max-degree-O,0.0,0.875,0.0
202,400,max-degree-R,0.8413284132841329,0.11750000000000005,6.3062903881073
203,400,max-degree-U,0.8413284132841329,0.25749999999999995,2.0286457538604736
204,800,max-degree-O,0.0,0.83375,0.0
205,800,max-degree-R,0.8394833948339483,0.20499999999999996,4.998355150222778
206,800,max-degree-U,0.8339483394833949,0.11375000000000002,2.6276514530181885
207,1000,max-degree-O,0.0,0.837,0.0
208,1000,max-degree-R,0.8357933579335793,0.09899999999999998,5.102665662765503
