,setting,running time
174,BLPA,55.65901565551758
175,BEKM,63.38942790031433
176,Retrain,6.8502326011657715
177,ERAEDGE,1.2205908298492432
178,BLPA,59.85238194465637
179,BEKM,66.42943239212036
180,Retrain,6.595135688781738
181,ERAEDGE,1.46193265914917
182,BLPA,59.597352266311646
183,BEKM,50.66891431808472
184,Retrain,6.609131813049316
185,ERAEDGE,1.2960166931152344
186,BLPA,55.85666012763977
187,BEKM,70.18615531921387
188,Retrain,6.3502771854400635
189,ERAEDGE,1.060333013534546
190,BLPA,54.90881562232971
191,BEKM,65.84463119506836
192,Retrain,6.63530969619751
193,ERAEDGE,1.3239288330078125
194,BLPA,58.26845741271973
195,BEKM,58.69139075279236
196,Retrain,6.27637243270874
197,ERAEDGE,1.5265555381774902
198,BLPA,53.65959334373474
199,BEKM,57.4631781578064
200,Retrain,6.695618152618408
201,ERAEDGE,1.278123378753662
202,BLPA,51.49513912200928
203,BEKM,56.73452353477478
204,Retrain,6.313653945922852
205,ERAEDGE,1.7315943241119385
206,BLPA,55.17098951339722
207,BEKM,66.33576655387878
208,Retrain,6.372760772705078
209,ERAEDGE,1.1692802906036377
210,BLPA,47.30725693702698
211,BEKM,61.82125449180603
212,Retrain,6.530754089355469
213,ERAEDGE,1.6318321228027344
214,BLPA,66.37397360801697
215,BEKM,60.11542558670044
216,Retrain,6.524621486663818
217,ERAEDGE,1.6999421119689941
218,BLPA,49.43253231048584
219,BEKM,54.43174076080322
220,Retrain,6.710632801055908
221,ERAEDGE,1.6213293075561523
222,BLPA,50.69122099876404
223,BEKM,62.21640920639038
224,Retrain,6.946681261062622
225,ERAEDGE,1.4405090808868408
226,BLPA,57.388978719711304
227,BEKM,58.34990930557251
228,Retrain,7.213242530822754
229,ERAEDGE,1.3131473064422607
230,BLPA,54.2683367729187
231,BEKM,64.99029302597046
232,Retrain,6.312850475311279
233,ERAEDGE,1.2661008834838867
234,BLPA,62.68915104866028
235,BEKM,58.977416038513184
236,Retrain,7.0977842807769775
237,ERAEDGE,1.0673043727874756
238,BLPA,59.70309853553772
239,BEKM,60.51802062988281
240,Retrain,7.132922172546387
241,ERAEDGE,1.8027324676513672
242,BLPA,47.500983476638794
243,BEKM,60.89285635948181
244,Retrain,5.706928968429565
245,ERAEDGE,0.8874273300170898
246,BLPA,54.72431206703186
247,BEKM,64.87375950813293
248,Retrain,6.59785795211792
249,ERAEDGE,1.3336639404296875
250,BLPA,58.359524726867676
251,BEKM,49.81669545173645
252,Retrain,6.975435256958008
253,ERAEDGE,1.427396297454834
254,BLPA,50.51001739501953
255,BEKM,57.16554546356201
256,Retrain,6.615451812744141
257,ERAEDGE,1.2479279041290283
258,BLPA,56.84675359725952
259,BEKM,69.83996605873108
260,Retrain,6.520155429840088
261,ERAEDGE,1.7178800106048584
262,BLPA,59.68501949310303
263,BEKM,63.443244218826294
264,Retrain,6.9545981884002686
265,ERAEDGE,1.593740463256836
266,BLPA,55.31897950172424
267,BEKM,62.39073872566223
268,Retrain,6.352170467376709
269,ERAEDGE,1.3756868839263916
270,BLPA,58.34556818008423
271,BEKM,65.91432547569275
272,Retrain,6.120666027069092
273,ERAEDGE,1.1558160781860352
274,BLPA,55.111167907714844
275,BEKM,63.37240529060364
276,Retrain,6.767565965652466
277,ERAEDGE,1.3496606349945068
278,BLPA,51.33725023269653
279,BEKM,57.243499994277954
280,Retrain,6.271092891693115
281,ERAEDGE,1.2147066593170166
282,BLPA,61.4945809841156
283,BEKM,69.56705284118652
284,Retrain,6.346688747406006
285,ERAEDGE,1.4817473888397217
286,BLPA,66.10585522651672
287,BEKM,63.051072120666504
288,Retrain,6.637658596038818
289,ERAEDGE,1.3001585006713867
290,BLPA,56.039310932159424
291,BEKM,69.86619448661804
292,Retrain,6.770459890365601
293,ERAEDGE,2.0121028423309326
294,BLPA,69.75115537643433
295,BEKM,55.924776554107666
296,Retrain,6.108963966369629
297,ERAEDGE,1.1557714939117432
298,BLPA,59.279653787612915
299,BEKM,61.756991147994995
300,Retrain,6.906176567077637
301,ERAEDGE,2.0993638038635254
302,BLPA,65.81374669075012
303,BEKM,73.4636812210083
304,Retrain,6.822408199310303
305,ERAEDGE,1.5488579273223877
306,BLPA,56.44570326805115
307,BEKM,55.419543981552124
308,Retrain,6.03023362159729
309,ERAEDGE,1.5676615238189697
310,BLPA,52.30528426170349
311,BEKM,67.46018385887146
312,Retrain,6.9408440589904785
313,ERAEDGE,1.5745587348937988
314,BLPA,57.61884307861328
315,BEKM,58.62570929527283
316,Retrain,7.166520595550537
317,ERAEDGE,1.3780477046966553
318,BLPA,56.03933572769165
319,BEKM,56.28765368461609
320,Retrain,6.487977743148804
