,# edges,setting,accuracy,f1
80,800,retrain,0.8118081180811808,0.8069659839324486
81,800,unlearn,0.8025830258302583,0.7814363129812574
82,1000,retrain,0.7988929889298892,0.7940388857364198
83,1000,unlearn,0.8007380073800738,0.7806193124865288
84,0,retrain,0.7841328413284133,0.6816854419535223
85,0,unlearn,0.7841328413284133,0.6816854419535223
86,100,retrain,0.8284132841328413,0.8244824635314202
87,100,unlearn,0.7712177121771218,0.6698849508632402
88,200,retrain,0.8154981549815498,0.8027459323866127
89,200,unlearn,0.7693726937269373,0.6700931263536537
90,400,retrain,0.7952029520295203,0.7763541184916051
91,400,unlearn,0.7656826568265682,0.6651891525310341
92,800,retrain,0.7324723247232472,0.6099836276429079
93,800,unlearn,0.7490774907749077,0.6484661022604538
94,1000,retrain,0.7841328413284133,0.7744786221502251
95,1000,unlearn,0.7546125461254612,0.6539686114890546
96,0,retrain,0.8099630996309963,0.8010595523736422
97,0,unlearn,0.8099630996309963,0.8010595523736422
98,100,retrain,0.7822878228782287,0.6705026520706102
99,100,unlearn,0.7749077490774908,0.6756264130770059
100,200,retrain,0.8302583025830258,0.8264504312720844
101,200,unlearn,0.7767527675276753,0.6780687424218472
102,400,retrain,0.8025830258302583,0.7934184916573279
103,400,unlearn,0.7712177121771218,0.6719878975147507
104,800,retrain,0.8118081180811808,0.791718604321687
105,800,unlearn,0.7730627306273062,0.6737403310973269
106,1000,retrain,0.8099630996309963,0.8052147785512028
107,1000,unlearn,0.7767527675276753,0.678381611246382
108,0,retrain,0.8191881918819188,0.8149716088659634
109,0,unlearn,0.8191881918819188,0.8149716088659634
110,100,retrain,0.8394833948339483,0.8379945346519867
111,100,unlearn,0.7583025830258303,0.6686087909396233
112,200,retrain,0.7767527675276753,0.6855688609521728
113,200,unlearn,0.7583025830258303,0.6682527962430564
114,400,retrain,0.7933579335793358,0.778210160010931
115,400,unlearn,0.7564575645756457,0.6813774293152675
116,800,retrain,0.7933579335793358,0.7808332072565264
117,800,unlearn,0.7546125461254612,0.6748516358475092
118,1000,retrain,0.7380073800738007,0.6302456717695532
119,1000,unlearn,0.7509225092250923,0.6721939460425291
